Year,USD,gdp_normalized
1990,5963144000000,0.0
1991,6158129000000,0.009999458449207766
1992,6520327000000,0.028574137790624565
1993,6858559000000,0.0459197635064101
1994,7287236000000,0.06790369996116835
1995,7639749000000,0.08598170132694304
1996,8073122000000,0.10820646377794449
1997,8577554457000,0.13407538392156212
1998,9062818202000,0.15896127081047384
1999,9631174489000,0.18810841072483908
2000,10250947997000,0.21989239124213905
2001,10581929774000,0.23686620218429588
2002,10929112955000,0.25467087327526844
2003,11456442041000,0.28171400625737325
2004,12217193198000,0.3207277744170175
2005,13039199193000,0.3628828878462669
2006,13815586948000,0.40269855108495806
2007,14474226905000,0.4364757282165809
2008,14769857911000,0.451636637829087
2009,14478064934000,0.4366725546981685
2010,15048964444000,0.4659501192745107
2011,15599728123000,0.4941950536207081
2012,16253972230000,0.5277467974142591
2013,16843190993000,0.5579638322534113
2014,17550680174000,0.5942461548355255
2015,18206020741000,0.627854128627339
2016,18695110842000,0.6529362433688234
2017,19477336549000,0.6930512955782173
2018,20533057312000,0.7471920546293465
2019,21380976119000,0.7906760604702999
2020,21060473613000,0.774239660277393
2021,23315080560000,0.8898631620125094
2022,25462700000000,1.0
