DATE,ASPUS
01-01-1990,149500
01-04-1990,151200
01-07-1990,145500
01-10-1990,150100
01-01-1991,151100
01-04-1991,148200
01-07-1991,145400
01-10-1991,144400
01-01-1992,144500
01-04-1992,145300
01-07-1992,141700
01-10-1992,147200
01-01-1993,144700
01-04-1993,148900
01-07-1993,148000
01-10-1993,148300
01-01-1994,153600
01-04-1994,154200
01-07-1994,152800
01-10-1994,156100
01-01-1995,153500
01-04-1995,158900
01-07-1995,157700
01-10-1995,160900
01-01-1996,161100
01-04-1996,166000
01-07-1996,164000
01-10-1996,171000
01-01-1997,172200
01-04-1997,177200
01-07-1997,174700
01-10-1997,175400
01-01-1998,180000
01-04-1998,178800
01-07-1998,184300
01-10-1998,181500
01-01-1999,189100
01-04-1999,191800
01-07-1999,193000
01-10-1999,204800
01-01-2000,202900
01-04-2000,202400
01-07-2000,204100
01-10-2000,212100
01-01-2001,211000
01-04-2001,211200
01-07-2001,207800
01-10-2001,214200
01-01-2002,227600
01-04-2002,227600
01-07-2002,219100
01-10-2002,232500
01-01-2003,233100
01-04-2003,241000
01-07-2003,248100
01-10-2003,256000
01-01-2004,262900
01-04-2004,265300
01-07-2004,274000
01-10-2004,286300
01-01-2005,288500
01-04-2005,287800
01-07-2005,294600
01-10-2005,294200
01-01-2006,305300
01-04-2006,302600
01-07-2006,308100
01-10-2006,299600
01-01-2007,322100
01-04-2007,310100
01-07-2007,301200
01-10-2007,305800
01-01-2008,290400
01-04-2008,304200
01-07-2008,285100
01-10-2008,276600
01-01-2009,257000
01-04-2009,273400
01-07-2009,274100
01-10-2009,272900
01-01-2010,275300
01-04-2010,268800
01-07-2010,266000
01-10-2010,278000
01-01-2011,268100
01-04-2011,267600
01-07-2011,263000
01-10-2011,259700
01-01-2012,278000
01-04-2012,282700
01-07-2012,294500
01-10-2012,297700
01-01-2013,307400
01-04-2013,320400
01-07-2013,324400
01-10-2013,334400
01-01-2014,331400
01-04-2014,340600
01-07-2014,340400
01-10-2014,369400
01-01-2015,348000
01-04-2015,339700
01-07-2015,347400
01-10-2015,366700
01-01-2016,357000
01-04-2016,357900
01-07-2016,358800
01-10-2016,364900
01-01-2017,374800
01-04-2017,376900
01-07-2017,373200
01-10-2017,399700
01-01-2018,374600
01-04-2018,378400
01-07-2018,392900
01-10-2018,384000
01-01-2019,375500
01-04-2019,376700
01-07-2019,382700
01-10-2019,384600
01-01-2020,383000
01-04-2020,374500
01-07-2020,397800
01-10-2020,403900
01-01-2021,418600
01-04-2021,440600
01-07-2021,473000
01-10-2021,497300
01-01-2022,514100
01-04-2022,527500
01-07-2022,547800
01-10-2022,552600
01-01-2023,505300
01-04-2023,503000
01-07-2023,513400
